Date,1. open,2. high,3. low,4. close,5. volume
2025-03-12,729.95,736.5,719.2,722.9,198814.0
2025-03-11,724.9,733.9,722.5,729.95,285624.0
2025-03-10,732.95,738.45,727.05,728.35,339175.0
2025-03-07,732.95,734.9,727.95,732.75,288192.0
2025-03-06,737.95,737.95,727.1,731.95,321519.0
2025-03-05,718.85,731.0,717.8,730.25,628448.0
2025-03-04,693.4,718.15,692.15,716.15,587355.0
2025-03-03,692.25,696.85,679.65,695.15,398676.0
2025-02-28,701.8,701.8,682.85,688.25,953162.0
2025-02-27,716.9,716.9,701.0,703.95,624622.0
2025-02-25,719.0,719.0,709.95,711.0,875612.0
2025-02-24,712.65,719.8,710.9,716.4,525944.0
2025-02-21,729.2,732.0,720.0,721.55,460425.0
2025-02-20,727.8,731.8,723.05,729.65,279931.0
2025-02-19,722.8,734.75,722.1,726.8,174597.0
2025-02-18,727.95,727.95,717.45,725.75,396321.0
2025-02-17,721.85,728.95,711.4,728.05,751026.0
2025-02-14,729.45,732.7,716.15,722.0,895669.0
2025-02-13,735.0,737.3,726.05,727.3,605466.0
2025-02-12,732.95,738.3,717.25,733.25,550605.0
2025-02-11,738.15,740.0,726.9,731.0,826170.0
2025-02-10,740.55,744.05,733.6,736.85,788061.0
2025-02-07,761.8,761.8,732.05,737.05,1805880.0
2025-02-06,769.65,770.95,750.0,752.35,1384322.0
2025-02-05,780.8,781.6,764.65,766.1,654303.0
2025-02-04,766.3,780.85,766.0,779.2,749753.0
2025-02-03,763.65,763.65,753.45,761.0,427934.0
2025-01-31,765.0,777.75,759.35,773.1,241965.0
2025-01-30,759.4,764.85,754.7,762.2,618809.0
2025-01-29,752.5,760.25,749.8,758.7,379821.0
2025-01-28,756.2,759.6,745.65,751.65,794022.0
2025-01-27,740.0,755.3,736.0,749.2,775011.0
2025-01-24,747.2,753.75,738.85,744.35,458033.0
2025-01-23,751.95,755.8,743.3,745.95,235130.0
2025-01-22,762.85,762.85,738.3,753.25,237866.0
2025-01-21,784.95,785.3,756.25,759.0,953600.0
2025-01-20,765.05,784.95,765.05,779.05,559123.0
2025-01-17,766.9,767.85,759.45,764.1,497950.0
2025-01-16,761.65,776.55,760.05,766.4,511761.0
2025-01-15,753.7,758.85,750.35,754.0,171791.0
2025-01-14,730.6,756.9,730.6,748.1,687121.0
2025-01-13,742.95,743.85,722.5,729.6,300275.0
2025-01-10,760.35,760.8,742.0,743.15,454472.0
2025-01-09,771.95,771.95,726.9,760.35,803943.0
2025-01-08,781.0,782.5,760.1,771.2,1224097.0
2025-01-07,778.05,783.75,775.1,779.0,563547.0
2025-01-06,798.0,798.0,773.3,776.75,624836.0
2025-01-03,801.9,809.7,792.25,793.5,387698.0
2025-01-02,795.0,802.4,786.3,801.05,711599.0
2025-01-01,796.85,798.5,789.6,793.35,356031.0
2024-12-31,788.75,798.95,787.0,795.05,283620.0
2024-12-30,802.7,808.0,785.2,788.3,686161.0
2024-12-27,817.25,818.75,797.25,799.55,1061163.0
2024-12-26,813.0,822.95,808.0,811.65,194920.0
2024-12-24,825.0,825.55,809.2,811.85,431577.0
2024-12-23,818.35,823.9,812.4,820.95,281649.0
2024-12-20,833.8,836.4,810.0,812.5,467910.0
2024-12-19,822.05,837.9,820.1,832.8,309033.0
2024-12-18,850.2,850.8,836.7,839.05,172425.0
2024-12-17,859.75,862.95,847.15,850.2,143409.0
2024-12-16,859.0,866.2,857.8,860.7,252691.0
2024-12-13,853.7,863.0,835.0,861.7,455324.0
2024-12-12,862.5,864.2,851.25,853.75,179011.0
2024-12-11,865.75,869.75,860.8,861.55,342069.0
2024-12-10,862.0,868.85,858.5,867.6,197287.0
2024-12-09,862.95,866.8,856.75,857.85,646144.0
2024-12-06,866.95,875.5,856.85,864.0,431320.0
2024-12-05,861.65,871.0,855.65,864.85,379508.0
2024-12-04,854.4,863.8,850.25,859.45,679548.0
2024-12-03,836.45,856.6,836.45,853.95,370485.0
2024-12-02,836.2,842.0,832.8,836.2,526054.0
2024-11-29,842.0,843.85,831.5,839.0,757635.0
2024-11-28,834.95,845.7,830.35,838.75,811586.0
2024-11-27,839.3,842.15,832.0,834.2,502957.0
2024-11-26,844.75,846.7,835.2,839.35,448647.0
2024-11-25,826.25,849.3,825.95,844.75,1612713.0
2024-11-22,785.65,819.75,784.3,816.05,1534393.0
2024-11-21,800.0,800.0,761.65,780.85,804079.0
2024-11-19,817.55,820.1,800.1,802.0,467072.0
2024-11-18,810.05,816.65,799.2,813.7,378989.0
2024-11-14,809.95,817.85,801.1,804.05,720597.0
2024-11-13,822.5,831.65,804.45,808.35,454522.0
2024-11-12,851.0,853.0,824.1,826.4,467134.0
2024-11-11,847.0,853.65,841.45,847.8,1417460.0
2024-11-08,860.0,863.65,834.3,843.25,1106664.0
2024-11-07,860.05,862.45,846.7,859.25,494821.0
2024-11-06,850.0,861.0,846.2,854.75,896339.0
2024-11-05,829.0,851.2,826.1,849.2,1335383.0
2024-11-04,822.65,837.5,807.05,829.85,458939.0
2024-10-31,821.95,828.0,813.45,820.5,497763.0
2024-10-30,830.0,832.9,821.05,822.4,322347.0
2024-10-29,796.5,834.5,790.5,832.65,1593501.0
2024-10-28,783.2,803.95,783.2,792.05,675658.0
2024-10-25,798.45,800.0,772.05,780.6,650630.0
2024-10-24,786.05,796.8,784.5,794.7,183971.0
2024-10-23,790.0,792.5,779.6,785.95,467975.0
2024-10-22,814.15,816.35,787.6,790.45,604778.0
2024-10-21,822.05,826.35,809.1,814.15,584223.0
2024-10-18,811.0,822.4,803.1,819.95,429099.0
2024-10-17,806.05,819.25,806.05,810.9,948591.0
